X1;Y1;Z1;X2;Y2;Z2;X3;Y3;Z3;X4;Y4;Z4;X5;Y5;Z5;X6;Y6;Z6;X7;Y7;Z7;X8;Y8;Z8;X9;Y9;Z9;X10;Y10;Z10;X11;Y11;Z11;X12;Y12;Z12;X13;Y13;Z13;X14;Y14;Z14;X15;Y15;Z15;X16;Y16;Z16;X17;Y17;Z17;X18;Y18;Z18;X19;Y19;Z19;X20;Y20;Z20;Position
6,317;2,282;5,629;-2,144;-5,464;2,881;0,173;7,283;8,263;8,196;1,316;6,259;3,304;-9,028;-1,895;-9,6;7,158;0,962;-5,912;-9,477;-3,578;4,859;-7,658;4,283;7,334;-7,496;-6,497;-4,766;-4,082;-4,586;-5,277;-2,725;-9,363;-8,779;7,95;3,117;8,583;8,991;-6,948;-8,703;5,639;-8,787;-7,612;7,025;1,301;-9,385;4,331;-0,3;7,98;-2,805;-8,776;3,068;-7,187;-7,835;-2,157;7,491;5,056;-7,904;2,865;-4,36;3
3,013;-4,665;-4,197;1,174;-8,446;-1,532;-5,599;-6,742;7,66;-4,688;0,483;-1,563;-9,259;-7,41;-4,833;6,38;5,139;-8,466;8,56;9,694;6,694;-8,11;-6,756;-6,211;4,489;2,586;1,845;-2,987;9,704;1,103;-6,666;4,012;1,293;-8,15;-6,562;-2,723;4,431;0,037;-6,077;4,732;1,61;4,14;-1,112;-4,78;5,507;6,741;4,191;2,746;-6,204;-8,902;-2,476;-5,792;-8,227;-7,589;1,853;2,233;-1,804;-4,017;-6,375;-9,823;4
-1,7;5,155;-2,437;-9,705;0,717;-0,986;1,97;-4,823;-7,924;8,47;-7,209;-4,389;-1,536;1,083;-2,135;4,22;4,79;8,316;-3,042;-8,875;-6,65;-8,887;4,038;-0,427;4,149;-2,815;7,356;-3,486;-2,466;1,566;3,041;6,056;-2,218;6,135;0,767;-3,604;-1,159;2,3;-8,342;1,209;-7,105;-8,905;-9,934;-7,898;-4,142;4,785;4,222;2,747;-3,561;5,616;-3,803;3,933;8,196;4,963;3,472;4,311;6,807;-7,719;-9,287;-4,31;2
-7,817;-5,02;6,518;3,994;4,541;-3,276;8,071;-2,364;-0,886;-7,871;6,57;-9,755;-9,065;-7,322;-8,642;9,54;-7,407;2,963;-4,181;-2,877;4,063;-5,497;7,503;8,853;5,395;1,38;0,217;0,799;6,938;2,432;-1,765;6,367;2,38;-1,613;1,374;-8,029;-1,019;0,017;2,742;0,038;-9,354;9,434;-8,259;9,009;2,877;1,613;-8,971;9,893;9,085;-7,295;-3,892;2,245;9,015;-5,972;-7,774;2,679;2,251;5,504;9,844;-5,214;5
7,522;-0,497;-1,751;0,504;9,597;-4,058;1,398;1,371;-4,366;0,535;-3,497;3,196;4,972;7,35;-5,001;-2,879;7,143;-1,542;-7,039;3,285;7,958;1,032;-7,216;-2,978;4,889;1,402;-7,504;5,576;-5,552;-6,289;-2,082;4,744;-7,094;-1,775;-6,274;3,702;6,071;0,443;-0,013;-0,946;5,12;9,313;8,575;3,214;-9,832;5,503;9,074;-3,277;-8,26;-3,569;1,752;-3,426;4,45;4,725;0,813;1,35;8,991;-7,639;-6,447;5,157;2
1,181;-1,314;-0,16;5,529;-4,862;-2,032;9,435;-6,916;-2,356;-6,117;-1,396;-5,293;-2,454;-8,051;0,979;7,937;-1,36;-8,64;-3,841;8,665;8,574;0,613;-2,35;0,643;1,616;5,254;7,176;-3,154;2,19;-7,456;-3,683;7,87;9,961;6,527;-3,615;-5,78;6,669;-3,189;-6,608;-8,404;1,155;7,048;-7,211;7,698;-0,758;-7,907;6,631;0,654;-3,876;9,56;5,911;-3,401;-9,903;-4,536;4,564;-9,02;-9,83;-2,401;5,944;-4,062;5
6,933;-4,269;-3,065;8,45;3,344;-8,446;2,873;3,459;-0,835;-3,183;5,985;-0,593;7,327;-3,486;-3,65;1,343;-0,821;-3,394;-9,578;3,322;-1,372;-7,423;1,138;5,718;1,384;0,047;-2,038;-4,625;-3,125;2,034;5,222;5,696;-7,375;-6,849;4,972;0,996;5,011;6,366;2,619;1,488;0,678;0,961;7,27;3,664;-6,608;-3,077;2,062;1,753;9,629;6,666;6,986;6,287;-8,729;6,047;-1,119;-9,053;-9,823;3,202;3,666;-4,228;3
-7,048;4,409;2,091;-9,971;-8,996;-4,623;3,332;6,998;-2,474;7,148;-6,282;3,217;-2,54;-8,567;-4,001;-0,471;-0,181;-4,633;-3,46;-5,183;7,874;1,355;-7,149;-7,629;7,205;7,401;3,299;-1,98;1,315;-1,171;-0,261;6,196;-9,277;6,309;8,699;-6,652;-6,607;-2,485;-4,442;-1,179;1,75;-0,936;-7,398;4,471;-2,352;5,507;5,587;-3,792;-6,491;-8,467;-5,959;3,519;2,184;1,984;3,088;9,661;8,4;-1,335;-4,783;-6,226;3
-4,579;7,548;4,507;8,567;7,112;5,089;5,633;7,667;5,582;-1,299;8,698;4,639;-1,399;-0,213;4,712;-9,67;3,891;-6,053;6,698;8,952;7,197;-9,095;-8,796;-2,437;-2,858;9,966;-8,803;7,987;9,099;4,279;7,006;9,065;-9,35;-6,471;-1,013;9,418;6,963;2,147;4,661;7,774;4,016;-7,354;0,466;-5,182;-5,895;-5,241;-5,322;7,332;6,739;3,73;-3,355;-0,335;-6,323;2,429;-9,25;4,79;-0,914;-7,776;6,754;-4,029;2
-8,998;3,615;5,219;2,777;6,258;-7,008;-6,704;-0,443;0,458;1,985;3,577;7,006;-5,829;6,473;-6,031;0,012;-0,295;-0,376;-7,114;6,159;3,996;3,432;3,902;-4,056;-2,663;-3,899;3,141;-7,937;4,91;8,91;9,497;-3,386;2,304;9,404;6,417;5,123;9,941;8,08;0,664;-0,667;0,9;-2,153;4,696;-8,785;-0,239;-8,172;-8,1;8,063;-9,841;6,006;6,91;-2,289;4,231;7,491;-6,221;7,485;1,68;9,931;-7,051;-5,782;1
5,402;5,938;-6,845;7,262;6,73;4,27;-1,088;7,165;-0,756;0,034;-8,178;8,547;-1,686;-8,35;-7,482;4,275;-7,075;-6,849;8,007;-4,936;-5,237;-2,108;-6,898;5,091;-7,416;4,697;3,008;6,116;1,33;-9,459;9,209;3,093;-0,715;-3,95;9,032;2,92;4,943;2,646;3,634;-8,978;6,943;-7,503;3,981;0,108;5,287;-5,699;3,376;-2,52;5,992;-0,661;2,342;2,512;-3,269;-0,787;3,798;-6,062;7,888;7,839;-6,262;4,534;3
8,741;-1,08;1,346;7,192;-6,233;-2,179;-3,396;-5,532;-1,576;2,064;-0,269;3,189;-5,678;-3,068;8,265;2,419;3,893;-7,309;4,175;1,87;-6,947;7,718;-4,65;7,923;-9,85;9,089;-9,341;-6,669;-2,059;-9,338;-4,158;3,229;8,667;-5,025;0,466;-3,444;-2,224;7,43;-4,472;-1,637;-3,447;3,542;9,689;-0,062;-5,952;-3,918;-8,341;6,361;1,866;-1,123;0,294;-5,06;-1,482;8,743;-3,144;3,449;3,664;0,742;-6,48;-6,817;1
6,716;-9,491;-5,328;8,363;7,78;-9,904;-6,254;5,372;9,29;0,236;-5,844;-7,825;-9,832;8,676;7,151;-9,306;-4,577;5,281;-4,247;-5,85;-3,76;5,242;-1,453;-7,751;1,474;-2,834;0,02;3,389;-7,042;1,216;1,028;6,968;-3,176;3,271;9,154;-7,162;-7,692;-7,597;-4,187;-9,208;-2,639;0,351;-8,031;-0,359;8,887;9,004;3,535;-8,276;-6,72;-3,598;5,11;-5,675;-1,697;6,699;9,524;2,884;9,749;8,727;-9,651;3,326;1
2,069;1,079;4,879;-1,301;3,384;1,56;-1,41;1,356;7,918;4,879;-4,558;7,689;6,612;-8,679;0,273;4,179;-8,113;0,369;-4,857;-2,256;4,353;4,339;9,581;9,878;0,064;0,58;-1,605;-6,718;-5,108;2,604;3,459;-7,988;8,755;3,182;7,932;-9,32;4,14;-1,569;-7,651;-4,598;8,478;8,315;-1,385;-4,68;1,679;-1,61;8,131;-6,47;2,395;9,995;1,886;-8,873;-8,62;6,461;5,318;6,382;4,075;8,597;-5,925;8,653;3
-1,126;-7,505;-9,279;7,183;5,86;-6,756;4,376;1,27;3,366;-7,41;2,484;6,607;-8,642;-3,481;3,67;2,507;-6,016;-0,515;6,769;-6,737;1,672;-8,634;-9,241;-3,775;-0,991;-5,054;8,805;2,868;5,128;-5,983;-3,617;-1,674;0,629;-8,211;8,988;1,326;-3,95;-6,106;5,658;8,603;-2,619;7,62;0,513;-5,677;-9,118;-1,807;7,346;-7,505;7,948;8,024;5,405;7,478;-2,964;-3,38;6,4;7,678;1,03;-6,77;5,153;1,706;2
2,293;8,084;5,598;-9,955;-5,848;1,011;6,379;-7,252;-5,538;3,071;2,818;-5,72;-8,137;7,786;4,153;3,956;6,003;4,856;6,938;-1,868;-0,713;8,223;6,969;4,917;5,907;6,691;8,64;-3,103;6,862;-6,095;-4,007;-2,423;-1,182;0,675;9,181;-8,609;-2,347;1,526;4,965;9,918;5,053;2,975;1,21;5,255;1,51;-2,812;-3,638;-0,605;0,55;6,486;7,2;-1,916;-9,655;9,137;0,099;-8,166;3,914;0,577;-0,458;-1,943;1
-9,374;4,329;-0,96;8,952;3,667;-7,969;-3,562;4,771;-5,722;2,279;1,154;-4,075;-3,57;-5,485;-8,474;-5,912;-7,174;-9,473;-7,694;-3,285;7,32;0,167;-5,85;6,867;-3,124;-6,133;-7,481;-9,006;-2,143;-0,293;5,04;-1,813;6,38;1,564;0,239;-1,446;-3,335;4,896;-9,053;-2,05;-2,639;-3,328;-2,442;-4,856;4,517;-7,226;-1,149;-3,573;9,67;0,892;-7,569;-2,312;-7,903;-7,29;9,521;9,958;8,737;-0,145;-4,135;9,997;2
8,552;-5,625;2,179;4,907;-7,65;9,081;-9,093;-8,011;-4,069;0,338;7,317;8,975;0,271;2,917;-5,99;5,086;-4,88;2,458;1,914;0,366;1,62;-8,027;-3,025;5,885;-1,669;-6,694;1,228;6,417;-9,444;8,249;-6,022;-5,269;-9,518;1,368;-8,226;-0,737;9,481;-2,885;9,284;5,792;7,035;2,143;1,852;5,146;-9,834;4,524;-8,285;-6,278;8,227;7,545;0,544;-1,497;4,407;4,221;-6,951;1,476;3,904;-4,748;4,996;7,467;4
-8,191;8,064;0,512;-2,942;7,784;0,171;7,993;1,638;-9,815;-8,597;-4,907;3,67;6,063;-6,163;-3,122;-1,426;6,373;-6,287;9,36;9,974;-1,757;-5,204;9,282;-6,938;8,799;-7,96;-3,204;2,169;7,074;-9,896;-4,33;1,338;5,575;6,299;-1,1;2,544;5,144;-1,478;-5,218;3,031;9,714;-2,035;6,804;7,173;6,103;2,334;5,884;-6,898;-3,029;7,841;-4,92;-9,469;4,553;5,246;-1,853;8,044;-6,945;3,829;-3,984;-2,838;3
-8,396;3,488;4,733;7,687;-4,763;-1,633;6,74;8,453;-9,745;9,818;-8,588;6,906;6,827;-2,439;-0,088;-5,454;-9,358;9,887;6,277;4,315;-5,038;1,518;-1,523;-2,301;3,521;5,506;6,519;5,822;9,505;-5,835;5,719;-6,297;-1,155;-9,701;7,394;2,217;-6,526;5,623;-5,344;6,957;-0,516;-0,812;-1,818;9,269;0,751;-4,116;-1,313;-5,96;2,06;6,907;3,569;-8,897;2,729;7,628;5,306;4,82;1,908;4,567;9,481;7,247;1
4,332;0,168;2,432;4,565;-1,305;3,872;9,1;-7,381;-9,832;3,565;6,487;-6,591;7,893;9,049;0,21;7,121;6,995;2,521;2,159;3,369;2,727;4,833;-3,132;7,174;2,658;3,479;-1,665;-5,145;5,488;0,274;7,493;-5,339;7,958;9,167;-2,016;2,303;-3,283;5,625;-4,902;7,277;-4,788;5,328;9,767;5,386;7,901;-3,468;-8,475;-2,434;0,252;1,558;7,809;-5,387;5,903;-5,2;-5,65;-3,594;3,898;1,301;-8,676;-9,214;2
-7,715;9,391;6,856;3,797;-4,707;-1,01;8,751;-1,186;-1,686;-1,262;5,296;1,484;-9,247;-2,229;-9,408;1,523;1,2;-1,916;0,611;-8,535;2,376;8,92;4,761;6,656;-5,591;0,191;-4,692;9,883;2,006;3,107;3,446;-6,613;-6,524;8,298;6,633;-5,211;-1,127;-3,603;4,473;-9,579;9,774;8,61;-8,809;-4,177;-5,049;6,418;3,571;6,349;-4,661;5,81;2,214;-7,524;8,084;6,717;0,986;-2,712;8,974;-3,007;-5,056;-1,153;4
-1,116;-8,233;3,964;-2,795;7,755;-0,852;-6,267;-2,335;-9,654;3,323;5,616;5,488;1,991;8,522;3,322;5,21;6,173;-4,491;3,431;5,083;7,698;-1,699;8,414;-3,523;2,293;3,935;5,27;1,803;5,02;2,69;6,63;-2,521;-8,887;5,709;-0,217;1,448;1,323;9,076;-3,38;-4,572;-2,356;-9,369;2,369;-6,933;4,899;-7,685;-7,172;-0,945;0,226;-9,777;-9,931;3,447;5,692;-8,565;4,484;-3,215;1,939;4,666;1,857;2,809;3
-2,672;-5,098;0,441;-9,935;-7,887;5,787;8,398;9,747;-9,677;-0,861;1,311;-8,917;-5,056;7,953;-8,569;0,731;6,45;-2,908;-6,953;-3,131;-4,317;3,19;8,382;-6,215;4,938;-4,697;6,856;-1,208;-6,342;-9,351;7,548;7,835;9,056;-1,149;3,552;3,06;6,425;-6,559;0,156;5,919;3,174;-6,819;-6,212;-7,739;9,382;0,465;0,079;-3,76;8,482;-4,345;-6,013;9,702;-2,551;5,861;-2,301;6,423;-6,1;-0,032;-9,951;-6,913;4
-1,127;-2,22;-2,898;1,901;2,553;-7,306;1,452;1,198;7,517;-4,634;-1,009;-9,44;-4,063;-6,901;-4,975;7,657;-2,091;4,207;9,245;-7,99;6,675;-7,544;6,294;9,167;-8,786;-6,63;8,416;-6,069;-6,858;-4,314;-0,651;5,312;1,824;-3,598;-4,708;4,035;2,836;8,09;8,013;3,41;-5,641;4,614;-6,26;1,303;6,698;1,382;-3,754;-4,027;9,359;4,693;-0,412;-7,046;-1,173;4,766;-9,536;0,653;-5,124;-9,882;2,185;3,55;1
-0,413;-5,706;4,3;0,167;4,705;4,611;-7,84;-3,856;-8,34;7,617;-1,033;-9,429;6,137;0,397;-6,844;-2,538;5,086;-6,705;9,908;5,226;9,721;8,75;4,592;2,634;-2,938;5,571;3,756;6,342;6,987;0,784;-0,408;-5,509;-3,129;0,966;3,939;-5,846;-4,172;6,75;8,64;-3,846;0,126;-0,558;-0,407;6,244;-2,452;-6,272;8,201;5,012;9,245;6,29;-6,602;9,372;-2,976;9,703;-0,963;-6,823;-2,277;2,913;4,984;5,926;1
-1,232;-4,357;5,632;3,146;2,075;-6,662;8,644;-4,499;9,682;7,059;-8,148;-1,411;-0,787;0,296;-9,513;6,031;-8,446;0,292;-7,994;6,596;7,625;-5,603;1,624;1,746;-2,218;3,096;-6,202;-8,106;-2,59;9,517;8,93;5,749;-7,337;-6,01;-4,447;-6,443;7,753;-3,803;6,176;0,152;9,741;2,243;-1,126;-0,702;8,281;-1,984;-7,687;-8,519;4,737;-9,485;-1,917;2,107;7,361;5,623;0,114;5,955;1,961;5,099;8,698;-1,466;5
-4,423;-6,524;-9,791;-5,594;7,371;1,013;3,604;-6,117;0,302;-8,994;-1,5;3,754;-4,116;4,388;-4,079;9,886;-3,747;0,226;7,605;-4,788;4,392;-8,515;9,484;-9,235;-0,848;6,921;3,677;-3,336;-5,586;-1,038;-9,049;-0,173;-3,72;3,004;-9,84;5,639;3,352;3,783;-5,252;-6,391;6,643;8,475;8,549;9,334;-0,15;0,652;9,68;-8,633;6,322;5,011;-3,208;-8,844;2,236;-9,147;-1,149;-7,984;-3,229;-5,731;1,433;9,797;3
-9,001;-6,847;-3,721;-7,716;4,872;-9,151;-0,566;-9,444;-1,334;-0,319;9,954;-7,933;3,723;-3,667;2,784;3,064;-5,283;-0,019;5,883;-6,436;5,336;-0,96;-4,375;-0,298;-9,069;-4,02;-8,665;-0,103;-2,646;0,721;3,36;3,843;4,774;-8,187;2,47;-5,643;0,605;4,022;-0,288;9,904;-1,264;-2,744;-8,727;-2,793;-1,278;-6,338;6,141;0,504;-8,915;7,211;4,761;-1,361;3,01;6,416;-2,647;1,924;-5,307;-5,578;0,56;7,977;3
-7,458;2,845;-2,1;3,596;-5,485;0,875;6,737;-2,746;7,517;-1,632;6,684;8,395;3,666;-3,075;3,785;-0,068;-4,806;9,151;-4,572;-3,642;-6,661;8,186;6,324;1,081;7,59;1,048;-1,341;7,555;4,416;-5,046;9,817;-7,767;0,25;-3,339;-6,586;9,393;-9,819;5,199;-8,389;-8,558;-6,232;-3,807;-0,866;5,684;-1,232;-4,192;2,588;1,846;5,417;-8,708;-0,632;0,074;9,044;8,015;9,679;-6,115;-8,051;-9,616;8,843;-9,091;3
6,821;-8,419;1,548;4,409;4,657;9,567;2,719;-4,597;-4,126;-5,504;-7,738;-9,727;-8,452;8,636;2,222;5,318;0,257;6,068;-9,63;-6,104;6,286;2,477;3,831;7,79;-6,166;-1,858;4,716;-3,454;-7,561;5,859;-3,092;-2,79;-1,917;3,607;6,326;5,583;9,268;2,132;9,689;-9,889;0,705;-9,126;-4,027;-2,619;-8,806;6,085;1,557;-2,181;2,845;4,32;-5,038;-0,657;-3,565;-7,521;-8,287;-3,331;5,24;0,475;0,454;-3,051;1
-1,694;1,35;7,507;-4,048;-1,676;-4,793;0,476;9,495;-0,291;-0,205;-0,765;-9,917;-0,507;7,37;0,005;0,286;-7,871;4,149;3,591;3,448;4,581;5,024;9,654;-0,257;-4,934;6,461;-6,81;1,253;9,605;7,196;-4,363;-2,636;7,101;-4,54;6,506;-2,806;-1,11;6,107;8,596;-4,786;5,609;-0,572;-7,997;-3,281;-1,755;1,257;5,603;-4,558;9,8;7,164;6,77;-1,835;-1,134;5,512;-3,823;-7,894;-3,838;-0,791;1,748;7,743;2
-7,531;-5,092;2,008;2,492;-7,024;-3,094;-3,597;9,963;3,618;-2,054;3,832;7,898;-7,42;-7,515;3,439;-9,331;-4,299;-4,242;4,579;2,452;3,825;2,219;-2,065;0,499;7,493;-4,797;5,001;-1,822;-7,383;8,249;-9,535;-4,746;0,938;1,532;-0,569;6,692;-9,432;-1,851;-4,069;8,3;-2;7,713;4,718;2,308;0,814;2,036;4,925;4,618;6,731;-9,391;2,117;7,091;-2,881;7,637;0,265;-7,429;7,32;-1,176;8,186;4,966;4
-0,081;-2,586;9,49;-0,129;4,912;5,612;-8,568;-3,236;4,042;-5,447;0,013;-3,095;-1,625;3,74;5,147;1,983;0,261;-7,775;-0,506;0,187;-2,176;-5,517;9,573;4,539;-3,563;-1,111;4,364;-3,15;8,722;1,284;7,25;1,739;6,069;7,654;0,851;-6,986;5,431;3,154;-6,327;3,139;-0,602;-8,729;-3,09;-4,382;8,974;5,277;0,368;-3,382;-0,489;-8,335;4,864;6,449;2,83;-2,868;-9,329;-4,96;-0,66;-5,2;-4,652;3,587;2
-6,883;-4,759;-5,454;-4,049;1,916;1,586;6,383;-8,55;-8,884;-5,317;9,878;-5,221;2,806;-0,963;-3,138;-1,158;-8,93;-2,932;2,478;1,426;5,436;5,518;3,005;2,791;3,868;-4,741;-8,179;4,711;8,139;2,584;8,759;-9,081;4,326;-9,477;-6,086;-5,715;-6,698;6,331;-3,392;1,485;-5,424;9,066;-1,685;-1,111;8,104;5,759;6,435;-1,448;-9,307;-7,444;-8,404;-9,492;8,346;4,265;4,172;-3,759;-2,256;-0,267;-2,718;4,188;1
-9,937;1,597;7,671;-9,023;7,093;-0,108;-4,147;6,602;-7,29;-6,614;-4,74;-9,856;-6,498;-3,134;-0,773;-6,28;4,355;-6,338;-0,997;-9,554;6,4;8,894;-5,371;3,595;6,493;-7,684;2,928;-4,621;5,352;-6,74;-1,337;7,933;2,931;6,885;-1,67;-0,415;-9,691;7,676;2,342;-5,81;1,514;8,326;-0,019;2,123;-1,49;-9,343;9,334;5,857;-5,942;-1,639;-3,236;-7,122;2,18;-2,284;2,161;-0,956;2,234;-9,532;-7,811;3,713;4
-2,427;9,672;-8,198;-5,94;-5,619;4,689;-0,853;-3,317;-8,299;3,932;5,141;3,269;7,002;1,301;-7,79;9,221;-2,674;-6,384;-3,147;8,329;-9,232;-7,526;-4,112;-0,31;4,223;-1,611;3,836;0,091;-1,497;-1,579;5,189;-0,812;7,774;-9,648;0,984;-3,731;0,421;1,661;5,101;-2,961;6,367;-8,021;-4,819;2,585;9,058;-5,496;5,297;-0,587;5,363;9,94;4,553;-4,038;9,588;-8,094;-9,956;-4,511;-1,931;-6,7;1,887;-3,491;2
-8,127;9,863;7,016;4,623;4,874;-4,988;5,983;7,343;-8,669;-8,383;-3,22;-4,337;-4,149;-9,695;-4,311;5,44;-1,525;0,888;6,55;-7,779;-8,718;5,637;-3,4;-0,773;2,017;2,204;-7,19;4,839;-8,873;-5,642;2,004;2,969;2,767;-6,552;4,788;-7,862;-5,106;-1,81;8,946;-8,694;-8,956;-0,066;1,176;-8,745;2,161;1,268;-2,688;7,961;-9,975;-0,87;3,297;-9,334;0,227;9,33;2,468;5,771;0,675;1,319;2,526;8,553;3
-7,801;-9,636;8,992;3,152;1,325;-0,29;-8,088;-4,865;-6,592;4,963;3,023;-7,295;2,646;5,685;-4,93;7,376;-6,863;6,821;5,025;-4,257;-0,468;-1,98;0,633;4,934;1,845;1,48;-9,625;4,046;-1,836;7,735;6,286;-4,169;-5,004;1,799;-2,93;-5,688;-9,402;-9,276;9,843;-9,324;-0,036;8,261;-9,643;-2,598;2,473;6,325;-6,731;1,404;7,165;4,254;-8,872;2,779;0,21;5,278;-7,624;-6,141;2,325;4,255;9,185;3,783;5
-9,986;-7,365;3,737;4,281;3,205;3,489;-4,257;9,783;-2,119;9,598;9,869;2,501;-2,085;2,361;-4,355;2,744;8,599;-4,505;-0,666;8,24;6,344;-1,792;-4,343;7,561;3,335;-0,935;-1,107;-7,379;2,365;-1,9;9,898;9,606;-7,605;9,73;-0,457;3,042;6,093;9,768;-7,108;8,327;-1,326;3,044;7,848;6,654;-8,421;-9,331;-2,948;-2,644;8,598;6,993;5,048;-6,544;1,81;0,263;-2,927;7,765;7,73;6,543;-3,252;-3,842;3
2,6;-1,596;4,819;8,188;-0,359;3,825;5,739;-5,931;-9,351;1,3;-6,661;2,67;7,989;-9,816;0,358;5,406;9,65;-0,739;8,143;-6,57;-2,442;-3,002;-0,217;-5,737;-5,778;3,867;-3,265;-4,71;0,973;-6,692;-3,775;-8,591;-8,806;3,59;1,574;6,226;-9,64;-3,136;-3,738;2,313;6,463;-8,072;-0,748;-5,288;4,824;-9,486;0,1;8,176;-3,535;-8,345;9,781;0,378;-4,685;2,062;8,981;5,044;-2,974;2,32;-2,876;9,145;2
8,456;3,611;5,869;3,925;5,441;2,211;3,429;9,639;9,191;1,023;-0,775;5,9;1,052;-2,276;-6,429;2,252;-8,981;1,464;-8,824;-5,336;3,849;-4,717;1,039;-8,856;8,685;5,776;8,919;-0,19;7,997;-7,83;-8,136;6,844;5,969;-2,575;9,878;5,82;-5,704;2,195;-9,967;-5,688;-6,759;-1,788;-5,21;-1,467;-7,613;2;-6,624;-5,339;-8,502;1,92;-3,045;1,372;-3,97;3,909;0,973;0,871;-0,795;0,096;7,299;4,181;1
-4,802;-7,21;4,698;-8,405;2,16;8,457;7,748;-1,893;-3,667;1,242;0,445;-2,451;7,355;-9,242;-9,055;2,931;-7,284;-0,931;2,609;6,499;-6,217;0,253;5,829;6,226;-1,82;-1,264;2,299;-5,556;-2,269;4,814;0,674;1,547;2,442;9,735;-4,746;4,115;5,24;3,542;2,159;9,008;-7,932;9,889;8,976;-6,671;-2,968;6,391;-7,366;7,27;-7,707;-1,38;-2,732;0,305;7,604;5,656;-9,09;7,184;1,164;-1,972;-5,807;9,813;2
4,566;-7,296;4,689;0,358;-0,169;4,702;-6,45;-6,09;-7,1;8,717;3,022;3,974;-1,176;8,886;5,701;3,207;2,455;2,633;6,955;2,917;7,152;-7,289;6,857;-6,444;7,495;6,335;-7,417;7,461;-5,265;-0,28;0,191;4,281;-8,275;-0,627;0,571;6,282;-4,357;2,258;-2,085;8,319;2,445;-6,846;-0,594;6,005;-2,63;4,699;-3,308;-0,268;2,41;1,283;-2,515;-4,827;-2,852;-8,95;0,268;0,481;-8,104;-1,436;5,341;-5,537;5
0,781;-4,324;-7,561;9,226;-2,18;8,5;6,961;8,37;-1,275;-4,61;-9,221;-2,864;3,833;-0,804;-4,696;-2,544;4,26;-2,073;-1,738;-4,443;-6,239;5,37;-6,438;-0,058;-5,304;2,041;-9,439;7,215;3,839;7,587;6,728;9,339;-3,619;-5,303;0,907;1,018;-3,265;-0,435;-9,873;-4,737;-0,742;9,631;-5,805;-5,729;-8,179;1,828;-4,108;-2,23;-2,74;-1,451;-1,005;-7,609;-0,747;4,826;6,649;-2,887;-3,235;8,933;-1,512;-7,031;3
1,325;2,558;-8,252;2,536;-1,733;3,342;3,161;-1,439;7,886;-7,828;0,403;-2,537;-6,475;-0,964;-1,677;-3,413;5,75;-5,001;-5,15;-6,198;8,429;-8,94;2,338;-9,26;-2,163;-5,56;-7,976;-5,773;8,338;7,637;-1,372;2,669;7,873;3,532;-6,913;-7,079;-3,634;-4,289;8,971;6,779;-5,811;4,355;2,489;-5,033;0,688;1,892;-5,164;6,04;-0,305;-8,801;-2,426;-3,595;9,537;1,098;7,554;-3,215;-3,762;5,411;-4,97;-1,815;5
-7,248;-3,23;9,121;-6,52;-6,581;-2,745;-4,81;2,758;7,228;9,162;7,508;-0,892;3,874;-2,354;2,25;-7,398;5,557;-1,158;-4,76;6,721;-8,918;4,873;0,347;1,449;8,333;-8,492;3,913;-6,919;4,538;-3,687;2,896;1,49;-4,456;0,104;-1,53;6,464;-6,177;-1,459;-1,675;-9,069;2,509;-6,586;8,895;9,008;-3,177;7,003;-9,748;-0,752;3,257;7,481;-0,232;-4,654;-4,103;-0,169;0,591;0,098;-6,609;-8,987;2,423;-3,653;4
-6,014;-4,202;9,483;7,368;7,421;8,939;9,253;-9,099;-5,587;-7,149;-1,071;8,725;1,36;8,004;7,399;-4,804;-7,556;0,83;-6,096;4,899;-1,238;6,824;-0,603;2,969;-7,13;5,721;3,6;-6,037;-6,653;-3,435;-3,579;-9,338;-8,837;-1,67;-3,375;-2,115;-3,881;3,446;-1,526;-9,078;-8,585;-4,366;9,841;6,107;-8,805;-1,6;9,154;3,948;-5,641;-0,439;6,513;-9,395;-6,571;-3,7;-1,993;-2,112;-7,747;-1,655;-1,285;6,693;5
-9,232;-8,009;-8,817;-4,383;-8,338;-2,032;4,405;7,804;9,986;9,735;9,341;-4,51;-3,711;5,06;6,629;8,942;-8,765;-1,703;-2,718;0,986;7,027;-0,615;5,221;3,016;-4,566;-4,948;1,631;-4,937;4,996;-9,277;4,515;4,931;-4,844;5,202;3,597;-9,989;-9,998;-0,464;-7,141;-8,91;-2,203;-8,228;-7,306;-5,724;-2,181;-8,96;9,116;4,198;-5,49;9,057;-1,731;3,703;6,644;-7,235;-0,698;-7,907;0,979;2,586;-5,866;-8,741;2
-9,458;-5,427;1,289;8,013;8,539;4,896;4,059;-1,742;1,23;6,194;-7,897;1,934;5,755;1,012;0,988;-1,616;-5,003;6,246;-6,627;8,762;7,512;-5,072;-2,885;-1,556;-5,583;1,987;2,075;-4,145;-6,223;4,929;8,494;6,292;-4,578;-6,931;9,661;-4,396;3,963;-1,657;-7,675;-5,827;-3,074;2,274;-7,838;-6,8;-1,825;-5,512;7,585;6,795;-7,081;-6,768;5,398;9,37;3,069;9,965;4,958;-3,639;2,554;8,73;-5,96;-3,527;5
